Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,2.58,2.75,2.53,2.6,2.6,15964
2019-10-08,2.51,2.6,2.51,2.58,2.58,5740
2019-10-07,2.56,2.61,2.5036,2.51,2.51,21734
2019-10-04,2.71,2.71,2.62,2.639,2.639,21413
2019-10-03,2.62,2.75,2.5431,2.74,2.74,15779
2019-10-02,2.52,2.69,2.4483,2.61,2.61,40097
2019-10-01,2.41,2.79,2.36,2.52,2.52,137267
2019-09-30,2.42,2.54,2.34,2.37,2.37,54003
2019-09-27,2.49,2.57,2.46,2.49,2.49,11882
2019-09-26,2.54,2.57,2.42,2.46,2.46,34581
2019-09-25,2.6517,2.6517,2.53,2.55,2.55,12122
2019-09-24,2.7,2.7019,2.5,2.51,2.51,41829
2019-09-23,2.87,2.89,2.68,2.73,2.73,81899
2019-09-20,3.0,3.17,2.76,2.85,2.85,134118
2019-09-19,2.9,3.15,2.8768,2.97,2.97,101325
2019-09-18,2.9,2.9694,2.85,2.9,2.9,20329
2019-09-17,3.14,3.14,2.86,2.96,2.96,47326
2019-09-16,3.07,3.1679,3.07,3.15,3.15,69108
2019-09-13,2.84,3.08,2.76,3.07,3.07,82634
2019-09-12,2.85,2.94,2.71,2.83,2.83,42707
2019-09-11,2.65,2.84,2.61,2.81,2.81,55367
2019-09-10,2.65,2.8,2.59,2.66,2.66,43932
2019-09-09,2.62,2.69,2.55,2.67,2.67,32174
2019-09-06,2.64,2.7295,2.5,2.62,2.62,57122
2019-09-05,2.54,2.7,2.3746,2.66,2.66,112189
2019-09-04,2.36,2.5776,2.26,2.55,2.55,151734
2019-09-03,2.44,2.6273,2.25,2.32,2.32,252920
2019-08-30,2.82,2.94,2.45,2.49,2.49,121964
2019-08-29,0.45,0.469999,0.391,0.3978,2.7846,715123
2019-08-28,0.445,0.45,0.43,0.4392,3.0744,76592
2019-08-27,0.44,0.4527,0.42025,0.441,3.087,164693
2019-08-26,0.44,0.4565,0.4352,0.44,3.08,306503
2019-08-23,0.45,0.458,0.441,0.45,3.15,333877
2019-08-22,0.42,0.4599,0.4157,0.449735,3.148145,563934
2019-08-21,0.42,0.42,0.415,0.42,2.94,138083
2019-08-20,0.42,0.42,0.4135,0.42,2.94,254441
2019-08-19,0.42,0.4201,0.415,0.42,2.94,283266
2019-08-16,0.42,0.42,0.415,0.419,2.933,453532
2019-08-15,0.42,0.43,0.4115,0.429,3.003,287472
2019-08-14,0.444,0.445,0.42,0.43,3.01,130381
2019-08-13,0.41,0.45,0.4,0.447,3.129,392904
2019-08-12,0.45,0.46,0.42,0.4252,2.9764,384124
2019-08-09,0.455,0.46,0.4471,0.4505,3.1535,403083
2019-08-08,0.46,0.4824,0.4444,0.454,3.178,472585
2019-08-07,0.489,0.4899,0.44,0.4661,3.2627,744460
2019-08-06,0.5355,0.5355,0.48,0.4914,3.4398,1223444
2019-08-05,0.58,0.6,0.52,0.549,3.843,1969362
2019-08-02,0.7,0.83,0.605,0.63,4.41,6082014
2019-08-01,0.5505,0.691,0.5505,0.615,4.305,3618284
2019-07-31,0.566,0.57,0.55,0.55,3.85,239189
2019-07-30,0.55,0.57,0.55,0.5662,3.9634,388048
2019-07-29,0.555,0.5615,0.55,0.55,3.85,209034
2019-07-26,0.555,0.574,0.52,0.565,3.955,667002
2019-07-25,0.525,0.5515,0.525,0.541,3.787,428547
2019-07-24,0.53,0.53,0.5,0.5,3.5,113286
