Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,0.4254,0.4254,0.3803,0.4016,4.016,135445
2019-07-30,0.45,0.45,0.4016,0.407,4.07,109474
2019-07-29,0.3944,0.41,0.3898,0.4044,4.044,114589
2019-07-26,0.4015,0.4016,0.3946,0.4016,4.016,36568
2019-07-25,0.41,0.44,0.38,0.3899,3.899,184199
2019-07-24,0.392,0.45,0.369,0.4365,4.365,937790
2019-07-23,0.37,0.3753,0.3602,0.3602,3.602,41930
2019-07-22,0.3818,0.39,0.37,0.37,3.7,43927
2019-07-19,0.385,0.4,0.37,0.38,3.8,73558
2019-07-18,0.395,0.395,0.3799,0.3799,3.799,66788
2019-07-17,0.4,0.4,0.3754,0.385,3.85,47641
2019-07-16,0.4027,0.4295,0.39,0.392905,3.92905,65865
2019-07-15,0.373,0.41,0.373,0.406,4.06,207848
2019-07-12,0.41,0.436,0.41,0.420688,4.20688,90697
2019-07-11,0.4394,0.4394,0.4,0.41,4.1,89449
2019-07-10,0.44,0.44,0.42,0.4289,4.289,76112
2019-07-09,0.427,0.434,0.4,0.415,4.15,133124
2019-07-08,0.43,0.44,0.39,0.4101,4.101,438415
2019-07-05,0.5299,0.53,0.5001,0.5151,5.151,19873
2019-07-03,0.49,0.535,0.49,0.5248,5.248,212340
2019-07-02,0.49,0.504,0.48,0.4901,4.901,68066
2019-07-01,0.5,0.5,0.4526,0.483,4.83,19265
2019-06-28,0.462,0.4877,0.462,0.48,4.8,15732
2019-06-27,0.4668,0.49,0.45,0.475,4.75,52481
2019-06-26,0.47,0.4753,0.461258,0.4677,4.677,43277
2019-06-25,0.476,0.48,0.4556,0.465,4.65,26103
2019-06-24,0.498,0.52,0.4751,0.4751,4.751,16902
2019-06-21,0.52,0.52,0.45,0.4961,4.961,62157
2019-06-20,0.4976,0.5,0.48,0.5,5.0,17529
2019-06-19,0.476,0.51,0.46,0.4976,4.976,78640
2019-06-18,0.4964,0.4988,0.47,0.4921,4.921,87579
2019-06-17,0.462,0.51,0.462,0.4988,4.988,53927
2019-06-14,0.48,0.4969,0.45652,0.48,4.8,53731
2019-06-13,0.49,0.5,0.44,0.4995,4.995,270954
2019-06-12,0.502,0.5292,0.4501,0.469956,4.69956,1786976
2019-06-11,0.44,0.45,0.42,0.4221,4.221,143952
2019-06-10,0.48,0.48,0.4246,0.4332,4.332,241607
2019-06-07,0.45,0.46395,0.45,0.453,4.53,127821
2019-06-06,0.475,0.49,0.45,0.4639,4.639,130914
2019-06-05,0.5,0.5,0.45,0.47,4.7,235232
2019-06-04,0.502,0.52,0.4901,0.4979,4.979,302818
